threshold,f1,balanced_accuracy,precision,recall,score_for_selection
0.58,0.5045045045045045,0.6934100833664152,0.5,0.509090909090909,0.5051979145878709
0.59,0.5045045045045045,0.6934100833664152,0.5,0.509090909090909,0.5051979145878709
0.6,0.4909090909090909,0.6843191742755061,0.4909090909090909,0.4909090909090909,-999999.509090909
0.61,0.4909090909090909,0.6843191742755061,0.4909090909090909,0.4909090909090909,-999999.509090909
0.62,0.5,0.6886859865025804,0.5094339622641509,0.4909090909090909,-999999.509090909
0.63,0.46153846153846156,0.6635966653433902,0.4897959183673469,0.43636363636363634,-999999.5636363636
0.64,0.46153846153846156,0.6635966653433902,0.4897959183673469,0.43636363636363634,-999999.5636363636
0.65,0.46153846153846156,0.6635966653433902,0.4897959183673469,0.43636363636363634,-999999.5636363636
0.66,0.44,0.6497816593886463,0.4888888888888889,0.4,-999999.6
0.67,0.4375,0.6472409686383486,0.5121951219512195,0.38181818181818183,-999999.6181818182
0.68,0.4375,0.6472409686383486,0.5121951219512195,0.38181818181818183,-999999.6181818182
0.69,0.4375,0.6472409686383486,0.5121951219512195,0.38181818181818183,-999999.6181818182
0.7,0.425531914893617,0.6403334656609766,0.5128205128205128,0.36363636363636365,-999999.6363636364
0.71,0.41304347826086957,0.6334259626836046,0.5135135135135135,0.34545454545454546,-999999.6545454545
0.72,0.3956043956043956,0.6243350535926955,0.5,0.32727272727272727,-999999.6727272727
0.73,0.37777777777777777,0.6152441445017864,0.4857142857142857,0.3090909090909091,-999999.6909090909
0.74,0.36363636363636365,0.6083366415244145,0.48484848484848486,0.2909090909090909,-999999.7090909091
0.75,0.3488372093023256,0.6014291385470425,0.4838709677419355,0.2727272727272727,-999999.7272727273
0.76,0.32941176470588235,0.5923382294561333,0.4666666666666667,0.2545454545454545,-999999.7454545455
0.77,0.3333333333333333,0.5945216355696705,0.4827586206896552,0.2545454545454545,-999999.7454545455
0.78,0.3170731707317073,0.5876141325922986,0.48148148148148145,0.23636363636363636,-999999.7636363637
0.79,0.275,0.5694323144104804,0.44,0.2,-999999.8
0.8,0.275,0.5694323144104804,0.44,0.2,-999999.8
0.81,0.28205128205128205,0.5737991266375546,0.4782608695652174,0.2,-999999.8
0.82,0.2894736842105263,0.5781659388646289,0.5238095238095238,0.2,-999999.8
