threshold,f1,balanced_accuracy,precision,recall,score_for_selection
0.73,0.42857142857142855,0.6428741564112743,0.4883720930232558,0.38181818181818183,-999999.6181818182
0.74,0.42857142857142855,0.6428741564112743,0.4883720930232558,0.38181818181818183,-999999.6181818182
0.75,0.4166666666666667,0.6359666534339024,0.4878048780487805,0.36363636363636365,-999999.6363636364
0.76,0.42105263157894735,0.6381500595474394,0.5,0.36363636363636365,-999999.6363636364
0.77,0.40860215053763443,0.6312425565700674,0.5,0.34545454545454546,-999999.6545454545
0.78,0.3409090909090909,0.5970623263199683,0.45454545454545453,0.2727272727272727,-999999.7272727273
0.79,0.3218390804597701,0.5879714172290591,0.4375,0.2545454545454545,-999999.7454545455
0.8,0.3132530120481928,0.5854307264787614,0.4642857142857143,0.23636363636363636,-999999.7636363637
0.81,0.3132530120481928,0.5854307264787614,0.4642857142857143,0.23636363636363636,-999999.7636363637
0.82,0.32098765432098764,0.5897975387058356,0.5,0.23636363636363636,-999999.7636363637
0.83,0.3037974683544304,0.5828900357284637,0.5,0.21818181818181817,-999999.7818181819
0.84,0.2857142857142857,0.5759825327510917,0.5,0.2,-999999.8
0.85,0.2857142857142857,0.5759825327510917,0.5,0.2,-999999.8
0.86,0.26666666666666666,0.5690750297737197,0.5,0.18181818181818182,-999999.8181818182
0.87,0.26666666666666666,0.5690750297737197,0.5,0.18181818181818182,-999999.8181818182
0.88,0.24324324324324326,0.5599841206828107,0.47368421052631576,0.16363636363636364,-999999.8363636363
0.89,0.2465753424657534,0.5621675267963477,0.5,0.16363636363636364,-999999.8363636363
0.9,0.2571428571428571,0.5687177451369592,0.6,0.16363636363636364,-999999.8363636363
